actual,proposed
394.4527282714844,112.53228759765625
404.6841735839844,119.83721160888672
408.0946960449219,125.38754272460938
418.3261413574219,130.34963989257812
435.3785095214844,135.55661010742188
438.7890319824219,139.6083984375
442.1995544433594,142.83506774902344
452.4309997558594,146.1374053955078
459.2519226074219,149.16127014160156
469.4833679199219,152.31874084472656
472.8938903808594,154.90660095214844
469.4833679199219,156.42254638671875
466.0728454589844,157.17283630371094
0.0,157.04371643066406
0.0,23.16524887084961
0.0,21.484251022338867
0.0,19.61849594116211
0.0,17.62075424194336
0.0,15.528751373291016
0.0,13.369404792785645
0.0,10.829442024230957
0.0,8.017608642578125
0.0,5.011582851409912
0.0,1.866848349571228
