actual,proposed
0.17852817475795746,0.20000000298023224
0.17804427444934845,0.20000000298023224
0.17546765506267548,0.20000000298023224
0.17300528287887573,0.1973629891872406
0.15865902602672577,0.19472253322601318
0.14754478633403778,0.19214743375778198
0.13648511469364166,0.18967002630233765
0.12547548115253448,0.18684212863445282
0.11015394330024719,0.1839442253112793
0.09057701379060745,0.18064221739768982
0.07987604290246964,0.17746007442474365
0.0648445338010788,0.17418023943901062
0.04553968459367752,0.17052721977233887
0.030735261738300323,0.16688966751098633
0.016003474593162537,0.16321586072444916
0.00569842429831624,0.1607418805360794
0.0,0.15692496299743652
0.0,0.1533811092376709
0.0,0.14998002350330353
0.0,0.1467466503381729
0.0,0.1432713270187378
0.0,0.13971546292304993
0.0,0.13627496361732483
0.0,0.13272812962532043
0.0,0.1352950483560562
0.0,0.131799578666687
0.0,0.12816664576530457
0.0,0.12466975301504135
0.0,0.1212739571928978
0.0,0.11768855154514313
0.0,0.11420562863349915
0.0,0.1117515116930008
0.0,0.10834691673517227
0.0,0.10497736185789108
0.0,0.1016240119934082
0.0,0.0982787236571312
0.0,0.09540713578462601
0.0,0.0926353931427002
0.0,0.09016763418912888
